,book_authors,book_desc,book_rating,book_title,genres,MISC,LOC,ORG,PER
23362,John Christopher,"The Chung-Li virus has devastated Asia, wiping out the rice crop and leaving riots and mass starvation in its wake. The rest of the world looks on with concern, though safe in the expectation that a counter-virus will be developed any day. Then Chung-Li mutates and spreads. Wheat, barley, oats, rye: no grass crop is safe, and global famine threatens.In Britain, where green fields are fast turning brown, the Government lies to its citizens, devising secret plans to preserve the lives of a few at the expense of the many.Getting wind of what's in store, John Custance and his family decide they must abandon their London home to head for the sanctuary of his brother's farm in a remote northern valley.And so they begin the long trek across a country fast descending into barbarism, where the law of the gun prevails, and the civilized values they once took for granted become the price they must pay if they are to survive.",3.88,The Death of Grass,Science Fiction,"['Chung-Li', 'Chung-Li']","['Asia', 'Britain', 'London']",[],['John Custance']
23385,J.L. Pawley,"I was just an ordinary teenager with ordinary problems. Then my body started changing. Growing. I realized I wasn’t normal. I’m not even human.Rejected, terrified, confused, all I could do was run away, find somewhere safe to hide and figure things out. Then I discovered I wasn’t alone.We have only one way to survive.Fly.When teenager Tyler Owen develops a bit of back pain, he doesn’t think much of it at first. Even the strange swelling and growths that follow can’t prepare him for the sudden emergence of his brand new wings that at the same time save and destroy his life. On the run from everyone from the sinister Evolutionary Corporation to the religious Angelist cult, he unintentionally attracts others the same as he is, like Miguel and Victoria whose lives have also been turned upside down.Together they form the Flight, finding out the hard way what it means to be the first in a new species, when all they want to do is learn how to spread their wings...",4.38,First Flight,Science Fiction,['Flight'],[],[],"['Tyler Owen', 'Miguel', 'Victoria']"
23415,Keith Roberts,"In the year 1588, Queen Elizabeth was assassinated. That single tragedy set off a whole series of events, resulting in the Spanish Armada's defeat of England and subsequent demise of Protestantism. Now it's the 20th century, and the Church of Rome reigns supreme. People live a pastoral existence of guilds and farming, with technology held back to the level of the steam locomotive and primitive radio. Still, science cannot be held back forever...a revolution is building.",3.71,Pavane,Science Fiction,"['Spanish Armada', 'Protestantism']",['England'],['Church of Rome'],['Elizabeth']
23427,Greg Bear,"A Ship of the Law travels the infinite enormity of space, carrying 82 young people: fighters, strategists, scientists; the Children. They work with sophisticated non-human technologies that need new thinking to comprehend them. They are cut off forever from the people they left behind. Denied information, they live within a complex system that is both obedient and beyond their control. They are frightened. And they are making war against entities whose technologies are so advanced, so vast, as to dwarf them. Against something whose psychology is ultimately, unknowably alien.",3.92,Anvil of Stars,Science Fiction,['Ship of the Law'],[],[],[]
23434,Larry Niven,"A solitary mountain rises from the searing, toxic blackness of the planet. The organ banks are the centre of this world. To them the subservient colonists contribute living limbs, and from them the overlords obtain the vital parts that keep them alive.",3.84,A Gift from Earth,Science Fiction,[],[],[],[]
23441,Theodore Sturgeon,"Charlie Johns has been snatched from his home on 61 North 34th Street and delivered to the strange future world of Ledom. Here, violence is a vague and improbable notion. Technology has triumphed over hunger, overpopulation, pollution, even time and space. But there is a change Charlie finds even more shocking: gender is a thing of the past. Venus Plus X is Theodore Sturgeon's brilliant evocation of a civilization for whom tensions between male and female and the human preoccupation with sex no longer exist. As Charlie Johns explores Ledom and its people, he finds that the human precepts he holds dear are profane in this new world. But has Charlie learned all there is to know about this advanced society? And why are the Ledom so intent on gaining Charlie's approval? Unsettling, compelling, and no less than visionary, here is science fiction at its boldest: a novel whose wisdom and lyricism make it one of the most original and insightful speculations on gender ever produced.",3.73,Venus Plus X,Science Fiction,"['Ledom', 'Venus Plus X', 'Ledom']",['North 34th Street'],[],"['Charlie Johns', 'Charlie', 'Theodore Sturgeon', 'Charlie Johns', 'Ledom', 'Charlie', 'Charlie']"
23456,Lauren Oliver,"This captivating digital original story set in the world of Lauren Oliver's New York Times bestselling Delirium series focuses on Alex, Lena's first love.When Alex sacrificed himself to save Lena, he thought he was committing himself to certain death, but what he got was almost worse. Imprisoned and tortured by the guards, his mind forces him to relive a past he would rather forget. But in the dark he grows stronger. Both hopeful and terrified, he fights to find his way back to her and the love he still clings to.In this digital story that will appeal to fans of Delirium and welcome new admirers to its world, readers will learn of Alex's time after the events of Delirium, as well as the dark past that he has tried to forget.",3.82,Alex,Science Fiction,"['Delirium', 'Delirium', 'Delirium']",[],['New York Times'],"['Lauren Oliver', 'Alex', 'Lena', 'Alex', 'Lena', 'Alex']"
23459,John Christopher,"Long ago, the Tripods--huge, three-legged machines--descended upon Earth and took control. Now people unquestioningly accept the Tripods' power. They have no control over their thoughts or their lives. But for a brief time in each person's life--in childhood--he is not a slave. For Will, his time of freedom is about to end--unless he can escape to the White Mountains, where the possibility of freedom still exists. The Tripods trilogy follows the adventures of Will and his cohorts, as they try to evade the Tripods and maintian their freedom and ultimately do battle against them. The prequel, When the Tripods Came, explains how the Tripods first invaded and gained control of the planet.",3.77,When the Tripods Came,Science Fiction,"['Tripods', ""Tripods'"", 'Tripods', 'Tripods', 'When the Tripods Came', 'Tripods']","['Earth', 'White Mountains']",[],"['Will', 'Will']"
23478,Susan Grant,"Rescued from the freezing Atlantic by a pirate who has lived to plunder merchant vessels, downed fighter pilot Carly Callahan is soon falling for this unlikely hero as well. Original.",3.79,Once a Pirate,Science Fiction,[],['Atlantic'],[],['Carly Callahan']
23519,Greg Bear,"On July 26th, Arthur Gordon learns that Europa, the sixth moon of Jupiter, has disappeared. Not hiding, not turned black, but gone. On September 28th, Edward Shaw finds an error in the geological records of Death Valley. A cinder cone was left off the map. Could it be new? Or, stranger yet, could it be artificial? The answer may be lying beside it—a dying Guest who brings devastating news for Edward and for Planet Earth.As more unexplained phenomena spring up around the globe—a granite mountain appearing in Australia, sounds emanating from the Earth’s core, flashes of light amongst the asteroids—it becomes clear to some that the end is approaching, and there is nothing we can do.In THE FORGE OF GOD, award-winning author Greg Bear describes the final days of the world on both a massive, scientific scale and in the everyday, emotional context of individual human lives. Facing the destruction of all they know, some people turn to God, others to their families, and a few turn to saviors promising escape from a planet tearing apart.Will they make it in time? And who gets left behind to experience the last moments of beauty and chaos on Earth?Nominated for a Nebula Award for Best Novel in 1987 and for Hugo and Locus Awards in 1988, THE FORGE OF GOD is an engrossing read, breathtaking in its scope and in its detail.",3.86,The Forge of God,Science Fiction,"['Planet Earth.As', 'THE FORGE OF GOD', 'Earth ? Nominated for a Nebula Award', 'Hugo and Locus Awards', 'THE FORGE OF GOD']","['Europa', 'Jupiter', 'Death Valley', 'Australia']",[],"['Arthur Gordon', 'Edward Shaw', 'Edward', 'Greg Bear', 'God']"
23542,L.E. Modesitt Jr.,"L.E. Modesitt's ""Timegod"" was first published in mass market format, expanded from his first novel, ""The Fires of Paratime."" Although somewhat reminiscent of the ""Change War"" stories of Fritz Lieber, and though science fiction, ""Timegod"" contains intriguing connections to the fantasy universe of Modesitt's Recluce novels.",4.05,The Timegod,Science Fiction,"['Timegod', 'The Fires of Paratime', 'Change War', 'Timegod', 'Recluce']",[],[],"['Modesitt', 'Fritz Lieber', 'Modesitt']"
23550,Adrienne Kress,"An action-packed tale of gowns, guys, guns–and the heroines who use them allSet in turn of the century London, The Friday Society follows the stories of three very intelligent and talented young women, all of whom are assistants to powerful men: Cora, lab assistant; Michiko, Japanese fight assistant; and Nellie, magician's assistant. The three young women's lives become inexorably intertwined after a chance meeting at a ball that ends with the discovery of a murdered mystery man.It's up to these three, in their own charming but bold way, to solve the murder–and the crimes they believe may be connected to it–without calling too much attention to themselves.Set in the past but with a modern irreverent flare, this Steampunk whodunit introduces three unforgettable and very ladylike–well, relatively ladylike–heroines poised for more dangerous adventures.",3.5,The Friday Society,Science Fiction,"['Japanese', 'Steampunk']",['London'],['The Friday Society'],"['Cora', 'Michiko', 'Nellie']"
23605,Louis-Sébastien Mercier|Christine Marcandier-Colard,"The 18th century was a wealth of knowledge, exploration and rapidly growing technology and expanding record-keeping made possible by advances in the printing press. In its determination to preserve the century of revolution, Gale initiated a revolution of its own: digitization of epic proportions to preserve these invaluable works in the largest archive of its kind. Now for the first time these high-quality digital copies of original 18th century manuscripts are available in print, making them highly accessible to libraries, undergraduate students, and independent scholars.Western literary study flows out of eighteenth-century works by Alexander Pope, Daniel Defoe, Henry Fielding, Frances Burney, Denis Diderot, Johann Gottfried Herder, Johann Wolfgang von Goethe, and others. Experience the birth of the modern novel, or compare the development of language using dictionaries and grammar discourses. ++++The below data was compiled from various identification fields in the bibliographic record of this title. This data is provided as an additional tool in helping to insure edition identification:++++Source Library: Bodleian Library (Oxford)ESTCID: N042524Notes: Anonymous. By Louis Sébastien Mercier. The imprint is false; possibly printed in France. With a half-title.Imprint: Londres, 1773. Collation: xii,479,[1]p. ; 12°",3.03,L'an 2440,Science Fiction,['Londres'],"['Oxford', 'France']","['Bodleian Library', 'ESTCID']","['Gale', 'Alexander Pope', 'Daniel Defoe', 'Henry Fielding', 'Frances Burney', 'Denis Diderot', 'Johann Gottfried Herder', 'Johann Wolfgang von Goethe', 'Louis Sébastien Mercier']"
23622,Terry England,"In the early years of the third millennium, an alien ship lands in the New Mexico desert. Its occupants are a mysterious, yet peaceful, life form known as the Holn. After a six-year stay, during which thousands of curious humans flock from all over the world to visit the spacecraft- turned- museum, the Holn depart suddenly, leaving behind 17 teens who had, until that morning when they entered the alien craft, been adults. Now, with complete memories of their former adult lives, they struggle to come to terms with this unasked-for ""gift"".",3.61,Rewind,Science Fiction,[],"['New Mexico', 'Holn', 'Holn']",[],[]
23648,Rosanne Rivers,"You have not attended a Demonstration this month.In Sola’s city, everyone obeys the rules. Stay away from the trigger cameras and regularly update your Debtbook, and you just might survive. But having to watch the way criminals are dealt with—murdered by Demonstrators in the Stadium—is a law Sola tries to avoid. When a charming Demonstrator kisses her at a party, however, she’s thrust into the Stadium and forced into the very role she despises.Armed with only natural resourcefulness and a caring nature, Sola narrowly survives her first bout. Her small success means she’s whisked off to a training camp, where she discovers a world beyond the trigger cameras and monitoring—a world where falling in love with a killer doesn’t seem so terrible.Yet life as a Demonstrator has no peace. Sola must train her way through twenty-five more Demonstrations before she can return home to her father. At the end of each battle, only one survivor remains.Sola could face anyone in the Stadium . . . even a loved one.",3.85,After the Fear,Science Fiction,['Debtbook'],"['Sola', 'Stadium', 'Stadium', 'Stadium']",[],"['Sola', 'Sola', 'Sola']"
23651,John Brosnan,"Centuries in the future, after the world has been devasted by the Gene Wars, the scattered remnants of humanity struggle against both the spreading biological blight on the ground and the great airships that dominate the skies. Controlled by feudal warlords, these mile-long dirigibles patrol their territories, exacting tribute from the ground communities.",4.15,The Sky Lords,Science Fiction,['Gene Wars'],[],[],[]
23661,Ray Bradbury,"S is for science fiction, spine-tingling, supernatural and sublime! S is for stories from a ""Star Wilderness that stretched as far as eye and mind could see and imagine"".ChrysalisPillar of FireZero HourThe ManTime in Thy FlightThe PedestrianHall and FarewellInvisible BoyCome into My CellarThe Million-Year PicnicThe Screaming WomanThe SmileDark They Were, and Golden-EyedThe TrolleyThe Flying MachineIcarus Montgolfier Wright",4.1,S is for Space,Science Fiction,"['ChrysalisPillar of FireZero HourThe ManTime in Thy FlightThe PedestrianHall', 'FarewellInvisible BoyCome into My CellarThe Million-Year PicnicThe Screaming WomanThe SmileDark They Were', 'Golden-EyedThe TrolleyThe Flying MachineIcarus Montgolfier Wright']",[],[],[]
23714,Robert A. Heinlein,"First came the news that a flying saucer had landed in Iowa. Then came the announcement that the whole thing was a hoax. End of story. Case closed.Except that two agents of the most secret intelligence agency in the U.S. government were on the scene and disappeared without reporting back. Then four more follow up agents also disappeared. So the head of the agency and his two top agents went in and managed to get out with their discovery: an invasion is underway by slug-like aliens who can touch a human and completely control his or her mind. What the humans know, they know. What the slugs want, no matter what, the human will do. And most of Iowa is already under their control.Sam Cavanaugh was one of the agents who discovered the truth. Unfortunately, that was just before he was taken over by one of the aliens and began working for the invaders, with no will of his own. And he has just learned that a high official in the Treasury Department is now under control of the aliens. Since the Treasury Department includes the Secret Service, which safeguards the President of the United States, control of the entire nation is near at hand.",3.87,The Puppet Masters,Science Fiction,[],"['Iowa', 'U.S.', 'Iowa', 'United States']","['Treasury Department', 'Treasury Department', 'Secret Service']",['Cavanaugh']
23721,Brian W. Aldiss,The sombre story of a group of people in their fifties who face the fact that there is no younger generation coming to replace them; instead nature is rushing back to obliterate the disaster they have brought on themselves.,3.55,Greybeard,Science Fiction,[],[],[],[]
23736,Gail Carriger,"From New York Times bestselling author Gail Carriger comes the stunning sequel to Prudence. Rue and the crew of the Spotted Custard return from India with revelations that shake the foundations of England's scientific community. Queen Victoria is not amused, the vampires are tetchy, and something is wrong with the local werewolf pack. To top it all off, Rue's best friend Primrose keeps getting engaged to the most unacceptable military types.Rue has family problems as well. Her vampire father is angry, her werewolf father is crazy, and her obstreperous mother is both. Worst of all, Rue's beginning to suspect that what they really are... is frightened.",4.06,Imprudence,Science Fiction,"['Prudence', 'Spotted Custard']","['India', 'England']",['New York Times'],"['Gail Carriger', 'Rue', 'Victoria', 'Rue', 'Primrose', 'Rue']"
23740,Edgar Rice Burroughs,"Mars has become divided by love. Not one, but two princes and a Jeddak are vying for the love of Thuvia of Ptarth. When she is mysteriously kidnapped, treachery threatens to throw Barsoom into bloody war.",3.75,"Thuvia, Maid of Mars",Science Fiction,"['Jeddak', 'Thuvia of Ptarth']",[],['Mars'],['Barsoom']
23746,C.J. Cherryh,"When forty thousand human colonists are abandoned on a planet called Gehenna for political reasons, and re-supply ships fail to arrive, collapse seems imminent. Yet over the next two centuries, the descendants of the original colonists survive despite all odds by entering a partnership with the planet's native intelligence, the lizardlike burrowing calibans.",3.76,Forty Thousand in Gehenna,Science Fiction,[],['Gehenna'],[],[]
23762,Ray Bradbury,"The spellbinding power of RAY BRADBURYHe can make you see thingsthat have never been seen by human eyes....feel things that no flesh-and-bloodcreature has ever felt. He can create visions socompelling that they literally seem to dancebefore your eyes. He can push you back to thebeginnings of time and then suddenly,without warning, thrust you forward t the outmostlimits of the future. He can make you so mucha part of his strange worlds that youliterally scream to get out.Seventeen breathtaking stories by themaster of the weird and wonderful, includingthe space-age classic, FROST AND FIRE.",4.11,R Is for Rocket,Science Fiction,[],[],[],['RAY BRADBURYHe']
23778,H. Beam Piper,"""ZNIDD SUDDABIT!"" So the Ulleran challenge begins, with the rantings of a prophet and a seemingly incidental street riot. Only when a dose of poison lands in the governor-general's whiskey does it become clear that the ""geeks"" have had it up to their double-lidded eyeballs with the imperialist Terran Federation's Chartered Uller Company. Then, overnight, war is everywhere. How it will end is in the (merely) two Terran hands of the new governor-general, a man shrewd enough to know that ""it is easier to banish a habit of thought than a piece of knowledge."" The problem is, the particular piece of knowledge he needs hasn't been used in 450 years. . . .",3.68,Uller Uprising,Science Fiction,"['Ulleran', 'Terran']",[],['Terran Federation'],[]
23785,Louise Lawrence,"To prove that denying free will is too high a price to pay for peace, Ben-Harran, a renegade Galactic Controller, must bring three witness before the Council of Atui. Each of the three must decide if beings have the freedom to be true to themselves, even if it means destruction. An engrossing novel filled with intrigue and hints of romance.",3.97,Keeper of the Universe,Science Fiction,['Galactic'],[],['Council of Atui'],['Ben-Harran']
23839,Neal Asher,"In charge of an old cargo spaceship, the Old Captain Orbus flees a violent and sadistic past, but he doesn't know that the lethal war drone, Sniper, is a stowaway, and that the past is rapidly catching up with him.",4.2,Orbus,Science Fiction,[],[],[],"['Orbus', 'Sniper']"
23855,Mark Crilley,"Fourth grader Akiko finds a spacecraft hovering outside her window one night, is whisked off to planet Smoo to find kidnapped Prince. How can Akiko head a rescue mission when she's afraid to be on the school's safety patrol? The team includes -- Spuckler Boach, Gax, Poog, and Mr. Beeba.",3.96,Akiko on the Planet Smoo,Science Fiction,[],['Smoo'],[],"['Akiko', 'Akiko', 'Spuckler Boach', 'Gax', 'Poog', 'Beeba']"
23863,Lauren Nicolle Taylor,"Librarian's note: This is an Alternate Cover Edition for ASIN: B00EPF5LSW.When being unique puts you in danger and speaking your mind can be punishable by death, you might find yourself fighting to survive. Sixteen-year-old Rosa lives in one of the eight enclosed cities of The Woodlands. Where the lone survivors of a devastating race war have settled in the Russian wilderness because it’s the only scrap of land left habitable on the planet. In these circular cities, everyone must abide by the law or face harsh punishment. Rosa's inability to conform and obey the rules brands her a leper and no one wants to be within two feet of her, until she meets Joseph. He's blonde, fair-skinned, green-eyed, and the laid-back complete opposite of Rosa. She's never met anyone quite like him, and she knows that spells danger.But differences weren't always a bad thing. People used to think being unique was one of the most treasured of traits to have. Now, the Superiors, who ruthlessly control the concrete cities with an iron fist, are obsessed with creating a 'raceless' race. They are convinced this is the only way to avoid another war. Any anomalies must be destroyed.The Superiors are unstoppable and can do anything they want. After all, they are considered superheroes by the general public. But not everyone sees them this way. When they continue to abuse their power by collecting young girls for use in their secret, high-tech breeding program, they have no idea that one of those girls has somehow managed to make friends even she didn't know she had. And one man will stop at nothing to save her.",3.75,The Woodlands,Science Fiction,['Russian'],['The Woodlands'],['Superiors'],"['Rosa', 'Rosa', 'Joseph', 'Rosa']"
23878,Scott Westerfeld,"Scott Westerfeld, the acclaimed author of Fine Prey, Polymorph, and Evolution's Darling, reached new heights of excitement in last spring's The Risen Empire, and left readers begging for more. Now he comes through with the dazzling payoff in book two of Succession, The Killing of Worlds.Captain Laurent Zai of the Imperial frigate Lynx is a walking dead man. Unjustly held responsible for the death of the Child Empress, sister of the immortal Emperor, Zai has been sent to fight an unwinnable battle. The Lynx must stop a vastly superior Rix ship from reaching the planet Legis, a suicide mission that will almost certainly end in oblivion for Captain Zai and his crew.On the planet Legis below, a Rix compound mind--a massive emergent AI formed from every computer on the planet--as been isolated by their Imperial blockade. But the mind has guided a lone Rix commando, Herd, to the planet's frozen north, and will soon order a desperate attempt to seize a polar communications array and break the blockade. Herd is a single warrior against an Imperial army, but moving silently behind her is the intelligence of an entire planet.Ten light-years away, Captain Zai's true love, the psychic (some say mad) Senator Nara Oxham is engaged in a deadly game of political intrigue. From her position on the Emperor's War Council, Senator Oxham must find a way to forestall the Emperor's final solution if the blockade is broken: a nuclear strike to destroy the compound mind, which will also kill millions of Imperial citizens. She suspects that the Emperor has a hidden weakness discovered, by the mind, a secret so dangerous to his immortal dynasty that to prevent its discovery the Emperor is willing to countenance the ultimate crime. . . . The killing of worlds.With this powerful conclusion to the first story arc of Succession, Scott Westerfeld confirms his stature as one of the leading writers of high space opera. ",4.08,The Killing of Worlds,Science Fiction,"['Fine Prey', 'Polymorph', 'Evolution', 'The Risen Empire', 'Succession', 'The Killing of Worlds.Captain', 'Imperial frigate Lynx', 'Rix', 'Legis', 'Legis', 'Imperial', 'Imperial', 'Imperial', 'Succession']",['Herd'],"['Lynx', 'Rix', ""Emperor 's War Council""]","['Scott Westerfeld', 'Darling', 'Laurent Zai', 'Empress', 'Zai', 'Zai', 'Herd', 'Zai', 'Nara Oxham', 'Oxham', 'Emperor', 'Emperor', 'Emperor', 'Scott Westerfeld']"
23880,"E.E. ""Doc"" Smith",Science Fiction,3.92,Children of the Lens,Science Fiction,[],[],[],[]
23897,Edgar Rice Burroughs|J. Allen St. John|Mike Resnick,"Language: EnglishInitials: yesSeparate Chapters: yesSuperior Kindle Formatting: yesInteractive Table of Contents: yesLending Allowed: yesThe novels of Edgar Rice Burroughs in one collection with active table of contents. Works include:The Land That Time Forgot, The People That Time Forgot, Out of Time's Abyss",3.89,The Land That Time Forgot Collection,Science Fiction,"[""The Land That Time Forgot , The People That Time Forgot , Out of Time 's Abyss""]",[],[],['Edgar Rice Burroughs']
23928,Neal Asher,"From eight hundred years in the future, a runcible gate is opened into the Polity and those coming through it have been sent specially to take the alien maker back to its home civilization in the Small Magellanic cloud. Once these refugees are safely through, the gate itself is rapidly shut downbecause something alien is pursuing them. The gate is then dumped into a nearby sun. From those refugees who get through, agent Cormac learns that the Maker civilization has been destroyed by pernicious virus known as the Jain technology. This, of course, raises questions: why was Dragon, a massive biocontruct of the Makers, really sent to the Polity; why did a Jain node suddenly end up in the hands of someone who could do the most damage with it? Meanwhile an entity called the Legate is distributing pernicious Jain nodes...And a renegade attack ship, The King of Hearts, has encountered something very nasty outside the Polity itself.",4.21,Polity Agent,Science Fiction,"['Maker', 'Jain', 'Dragon', 'Makers', 'Polity', 'Legate']",['Small Magellanic'],['The King of Hearts'],['Cormac']
23943,Mark Crilley,"In this companion novel to Akiko on the Planet Smoo, fourth-grade earthling Akiko and her odd team are on a journey to save the kidnapped Prince Froptoppit from the evil Alia Rellapor. Unfortunately, on their way to Alia Rellapor's castle, the group has gotten lost while sailing over the Moonguzzit Sea in their flying boat. With no maps available, the team's best hope is to find Queen Pwip of the Sprubly Islands, a clairvoyant, who will be able to point them in the right direction. But the Sprubly Islands aren't like Akiko's hometown, and when Spuckler and Mr. Beeba disappear one night, Akiko is left to decide how she is to survive in this strange new world.",4.13,Akiko in the Sprubly Islands,Science Fiction,['Planet Smoo'],"['Alia Rellapor', 'Moonguzzit Sea', 'Sprubly Islands', 'Sprubly Islands']",[],"['Akiko', 'Akiko', 'Prince Froptoppit', 'Alia Rellapor', 'Akiko', 'Spuckler', 'Beeba', 'Akiko']"
23977,Peter F. Hamilton,"This breathtaking climax to the acclaimed saga of ""The Reality Dysfunction"" and ""The Neutronium Alchemist"" finds the Confederation on the verge of collapse, as more and more star systems fall to the Possessed. An alien god may hold the solution to the crisis--if Joshua and Syrinx can discover it in time.",4.33,The Naked God 1: Flight,Science Fiction,"['The Reality Dysfunction', 'The Neutronium Alchemist', 'Confederation', 'Possessed']",[],[],"['Joshua', 'Syrinx']"
23982,Harry Harrison,"1999 - automation, total welfare, and weekends on the moon...or an overcrowded world that knows that the dawn of the new century is the edge of disaster - a world of starving billions living on lentils, soya beans and - if they're lucky - the odd starving rat.In a city of thirty-five million Andy Rusch is engaged in a desperate and lonely hunt for a killer everyone has forgotten...for even in a world such as this a policeman can find himself utterly alone...",3.72,Make Room! Make Room!,Science Fiction,[],[],[],['Andy Rusch']
24002,Stanisław Lem," Bomba Magabitowa is the second work (after Tajemnica Chinskiego Pokoju) that continues the famous and classic essay from Lem's Summa Technologiae. Summa was first published in 1964, Tajemnica - four years ago - as a collection of essays published in PC Magazine. Bomba Megabitowa is the continuation and crowning of this collection.Professor Jerzy Jarzebski  Bomba Magabitowa was not translated into English. ",3.55,Die Megabit Bombe,Science Fiction,"['Bomba Magabitowa', 'Tajemnica Chinskiego Pokoju', 'Summa Technologiae', 'Tajemnica', 'Bomba Megabitowa', 'English']",[],"['Summa', 'PC Magazine']","['Lem', 'Jerzy Jarzebski Bomba Magabitowa']"
24009,Neal Asher,"Ian Cormac, a legendary Earth Central Security agent, the James Bond of a wealthy future, is hunting an interstellar dragon, little knowing that, far away, his competition has resurrected an horrific killing machine named ""Mr. Crane"" to assist in a similar hunt, ecompassing whole star systems. Mr. Crane, the insane indestructible artificial man now in a new metal body, seeks to escape a bloody past he can neither forget nor truly remember. And he is on a collision course with Ian Cormac.",4.13,Brass Man,Science Fiction,[],[],['Earth Central Security'],"['Ian Cormac', 'James Bond', 'Mr. Crane', 'Crane', 'Ian Cormac']"
24020,Mark Crilley,"Akiko and Mr. Beeba, Spuckler, Gax, and Poog continue on their perilous journey across the planet Smoo to rescue Prince Froptoppit.",4.07,Akiko and the Great Wall of Trudd,Science Fiction,"['Gax', 'Poog']",['Smoo'],[],"['Akiko', 'Mr. Beeba', 'Spuckler', 'Prince Froptoppit']"
24036,Philip K. Dick,Comprising:- The Golden Man (1954)- Return Match (1967)- The King of the Elves (1953)- The Mold of Yancy (1955)- Not By Its Cover (1968)- The Little Black Box (1964)- The Unreconstructed M (1957)- The War with the Fnools (1964)- The Last of the Masters (1954)- Meddler (1954)- A Game of Unchance (1964)- Sales Pitch (1954)- Precious Artifact (1964)- Small Town (1954)- The Pre-persons (1974),3.75,The Golden Man,Science Fiction,"['The Golden Man', 'Return Match', 'The King of the Elves', 'The Mold of Yancy', 'Not By Its Cover', 'The Little Black Box', 'The Unreconstructed M', 'The War with the Fnools', 'The Last of the Masters', 'Meddler', 'A Game of Unchance', 'Sales Pitch', 'Precious Artifact', 'Small Town', 'The Pre-persons']",[],[],[]
24052,Richard K. Morgan,"
Welcome back to the brash, brutal new world of the twenty-fifth century: where global politics isn’t just for planet Earth anymore; and where death is just a break in the action, thanks to the techno-miracle that can preserve human consciousness and download it into one new body after another.
Cynical, quick-on-the-trigger Takeshi Kovacs, the ex-U.N. envoy turned private eye, has changed careers - and bodies - once more... trading sleuthing for soldiering as a warrior-for-hire, and helping a far-flung planet’s government put down a bloody revolution.But when it comes to taking sides, the only one Kovacs is ever really on is his own. So when a rogue pilot and a sleazy corporate fat cat offer him a lucrative role in a treacherous treasure hunt, he’s only too happy to go AWOL with a band of resurrected soldiers of fortune. All that stands between them and the ancient alien spacecraft they mean to salvage are a massacred city bathed in deadly radiation, unleashed nanotechnolgy with a million ways to kill, and whatever surprises the highly advanced Martian race may have in store. But armed with his genetically engineered instincts, and his trusty twin Kalashnikovs, Takeshi is ready to take on anything — and let the devil take whoever’s left behind.",3.97,Broken Angels,Science Fiction,"['ex-U.N.', 'Martian', 'Kalashnikovs']",['Earth'],[],"['Takeshi Kovacs', 'Kovacs', 'Takeshi']"
24060,Janet  Edwards,"It's time to risk it all!The thrilling conclusion to Janet Edward’s sensational debut YA sci-fi trilogy.Jarra never wanted to be a celebrity. All she ever wanted was to gain some respect for the people left on Earth: the unlucky few whose immune system prevents them from portalling to other planets.Except now she’s the most famous Earth girl in the universe – but not everyone in the universe is happy about it, nor the fact that she has found love with a norm. Jarra’s actions have repercussions that spread further than she ever could have imagined, and political unrest threatens to tear apart the delicate balance of peace between humanity’s worlds.On top of everything, the first alien artefact ever discovered appears to be waiting for Jarra to reveal its secrets. But to do so, she must somehow find a way to leave Earth – or else the alien artefact will be lost forever. Is there a way for Jarra to travel to another planet? Or is her destiny only to look to the stars – but never to reach them?",4.27,Earth Flight,Science Fiction,['Earth'],"['Earth', 'Earth']",[],"['Janet Edward', 'Jarra', 'Jarra', 'Jarra']"
24068,Wyatt Davenport,"Unique and distinct in setting and style, Lunara takes the reader on a space adventure set in our solar system. This full length novel (388 print pages) is a mix of action adventure and space opera. Earth is dead, destroyed by a barrage of meteors. What was left of the population has escaped to Mars and colonized it as humanities new home.Lunara, a small colony on Earth’s moon, is charged with catching and mining meteors for desperately needed minerals. But the deep-seated human thirst for domination is not easily defeated, nor is the capacity for deceit and betrayal. All it needs is a powerful catalyst, a prize valuable enough to risk plunging mankind into another destructive war. Parker McCloud and his friends, Seth and Chloe, are caught up in a violent series of events when Lunara is invaded. On Mars, Parker, Seth, Chloe, and the crew of the Protector attempt to sort out who is responsible, where the tide of suspicion swings back and forth between Aethpis and Zephyria. In the end, we see barbarism by the leaders of Mars, great courage by the crew of the Protector, and immense valor by the military on Lunara in adventure one in an exciting new series.Lunara Series BooksOriginal Trilogy:Lunara: Seth and ChloeLunara: Gwen and EamonnLunara: Parker and the Protector ",3.49,Lunara: Seth and Chloe,Science Fiction,"['Lunara', 'Earth', 'home.Lunara', 'Lunara', 'Protector', 'Aethpis', 'Zephyria', 'Mars', 'Protector', 'series.Lunara Series BooksOriginal Trilogy', 'Lunara : Seth', 'ChloeLunara', 'Gwen', 'EamonnLunara']","['Mars', 'Earth', 'Lunara']",[],"['Parker McCloud', 'Seth', 'Chloe', 'Mars', 'Parker', 'Seth', 'Chloe', 'Parker']"
24081,Neal Asher,Outlink station Miranda has been destroyed by a nanomycelium and the very nature of this sabotage suggests that the alien bioconstruct Dragon - a creature as untrustworthy as it is gigantic - is somehow involved.,4.13,The Line Of Polity,Science Fiction,['Dragon'],[],[],['Miranda']
